rank,candidate_id,score,title,company/current_org,location,years_experience,primary_skill_cluster,core_ai_score,production_score,evaluation_score,behavior_score,risk_penalty,reasoning_hash,is_near_duplicate_reasoning,is_same_template_cluster
1,CAND_0000003,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
2,CAND_0000005,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
3,CAND_0000007,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
4,CAND_0000009,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
5,CAND_0000011,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
6,CAND_0000013,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
7,CAND_0000015,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
8,CAND_0000017,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
9,CAND_0000019,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
10,CAND_0000021,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
11,CAND_0000023,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
12,CAND_0000025,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
13,CAND_0000027,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
14,CAND_0000029,0.7628,Recommendation Systems Engineer,TechCorp,Hyderabad,6.0,Core AI,1.0,0.66,1.0,0.85,0,-5372381002952926880,False,True
