rank,candidate_id,score,core_ai,production,evaluation,traps,reasoning
1,CAND_0050001,0.0333,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0050001]"
2,CAND_0055543,0.0328,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055543]"
3,CAND_0055545,0.0323,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055545]"
4,CAND_0055547,0.0317,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055547]"
5,CAND_0055549,0.0312,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055549]"
6,CAND_0055551,0.0308,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055551]"
7,CAND_0055553,0.0303,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055553]"
8,CAND_0055555,0.0299,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055555]"
9,CAND_0055557,0.0294,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055557]"
10,CAND_0055559,0.0290,10,3,2,0,"Candidate is a Recommendation Systems Engineer with 6.0 YOE based in Hyderabad, Telangana. Strong AI indicators with 10 core terms (matched: recommendation systems, learning-to-rank, relevance, nlp). JD Semantic Alignment Score: 0.027. Shows production shipping evidence (e.g., deployment, production, infrastructure). Experience with ML evaluation metrics (metrics, eval). Mentions 1 python/systems keywords. High Redrob response rate (91%). [Ref: CAND_0055559]"
